Complexity metrics;Mo; 29 Mai 2017 17:44:37 MESZ;;;;
Method;ev(G);iv(G);v(G);;ev(G)=;Essential cyclomatic complexity
Configuration.BasedriverConfiguration.authenticate(WebDriver);1;1;1;;iv(G)=;Design complexity
Configuration.BasedriverConfiguration.chromeDriver();2;1;3;;v(G)=;Cyclomatic comp-.
Configuration.BasedriverConfiguration.cleanUp(WebDriver);1;1;1;;;
Configuration.BasedriverConfiguration.closeBrowser();1;2;2;;;
Configuration.BasedriverConfiguration.firefoxDriver();1;1;1;;;
Configuration.BasedriverConfiguration.webDriver();1;1;1;;;
Configuration.BasedriverConfiguration.webDriver(String);2;1;2;;;
com.vnv.Main.addFakeUser();1;1;1;;;
com.vnv.Main.getProfiles();1;1;1;;;
com.vnv.Main.initDB();1;1;1;;;
com.vnv.Main.main(String[]);1;3;3;;;
com.vnv.Main.setProfiles(String[]);1;1;1;;;
com.vnv.ZCucumber.AcceptFriendSteps.friendIsAcceptedAndTheMessageAppears(String);1;1;1;;;
com.vnv.ZCucumber.AcceptFriendSteps.iWantToAcceptAndClickOnTheButton(String);1;1;1;;;
"com.vnv.ZCucumber.AcceptFriendSteps.loggedInToAcceptAFriendWithTheEmailAndThePassword(String;String)";1;1;1;;;
com.vnv.ZCucumber.AddFriendSteps.iWantToAddAndClickOnTheButton(String);1;1;1;;;
"com.vnv.ZCucumber.AddFriendSteps.loggedInToAddAFriendWithTheEmailAndThePassword(String;String)";1;1;1;;;
com.vnv.ZCucumber.AddFriendSteps.tearDown();1;1;1;;;
com.vnv.ZCucumber.AddFriendSteps.theButtontextChangesTo(String);1;1;1;;;
com.vnv.ZCucumber.BackgroundSteps.aRegisterdUserNamedNameWithEmailEmailAndPasswordPassword();1;1;1;;;
"com.vnv.ZCucumber.BackgroundSteps.aRegisterdUserWithNamedWithEmailAndPassword(String;String;String)";1;2;2;;;
"com.vnv.ZCucumber.BackgroundSteps.loginAndDeleteTheRegisteredUserWithTheEmailAndThePasswordFromDatabaseAgain(String;String)";1;1;1;;;
com.vnv.ZCucumber.BackgroundSteps.logout();1;1;1;;;
com.vnv.ZCucumber.BackgroundSteps.tearDown();1;1;1;;;
com.vnv.ZCucumber.BackgroundSteps.userIsDeletedFromDatabaseAgain();1;1;1;;;
"com.vnv.ZCucumber.ChangePasswordSteps.loginToChangeThePasswordWithTheEmailAndThePassword(String;String)";1;1;1;;;
com.vnv.ZCucumber.ChangePasswordSteps.navigateToPasswordSettings();1;1;1;;;
com.vnv.ZCucumber.ChangePasswordSteps.tearDown();1;1;1;;;
"com.vnv.ZCucumber.ChangePasswordSteps.theActualPasswordNewPasswordAndConfirmPasswordIsEntered(String;String;String)";1;1;1;;;
com.vnv.ZCucumber.ChangePasswordSteps.theChangePasswordButtonIsClicked();1;1;1;;;
"com.vnv.ZCucumber.ChangePasswordSteps.theMessageFormElementWithIdIsShown(String;String)";1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.anErrorMessageIsShown(String);1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.cleanup();1;1;1;;;
"com.vnv.ZCucumber.DeleteAccountSteps.loginWithTheEmailAndThePassword(String;String)";1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.tearDown();1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.theConfirmationWithThePasswordIsDone(String);1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.theDeleteAccountButtonIsClicked();1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.theDeleteAccountSettingsIsSelected();1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.theMainpageWithTheMessageIsShown(String);1;1;1;;;
com.vnv.ZCucumber.DeleteAccountSteps.theSettingsAreSelected();1;1;1;;;
